date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:43:25	68/68	---MCZ	200	added ('OK')	text/plain	date:Thu,%2026%20Mar%202026%2012:38:37%20GMT	https://www.clementgermaine.com/robots.txt		(from )
21:43:25	104643/104643	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20Mar%202026%2010:05:01%20GMT	https://www.clementgermaine.com/	C:/My%20Web%20Sites/MonsiteWebflow/www.clementgermaine.com/index.html	(from )
21:43:25	128857/128857	---MCZ	200	added ('OK')	text/css	etag:W/%2271f3159be35b3474c0c29c4d370b673d%22	https://cdn.prod.website-files.com/67829ee3c36756f3a6ecc22a/css/clementgermainetest.webflow.shared.6913aacbc.css	C:/My%20Web%20Sites/MonsiteWebflow/cdn.prod.website-files.com/67829ee3c36756f3a6ecc22a/css/clementgermainetest.webflow.shared.6913aacbc.css	(from https://www.clementgermaine.com/)
21:43:25	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/MonsiteWebflow/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.clementgermaine.com/)
21:43:25	879/879	---M--	200	added ('OK')	image/png	etag:%22ef501dc35fcb8cc629a327912a24654d%22	https://cdn.prod.website-files.com/67829ee3c36756f3a6ecc22a/679217bfdbd9617b04b9ee1a_Favicon.png	C:/My%20Web%20Sites/MonsiteWebflow/cdn.prod.website-files.com/67829ee3c36756f3a6ecc22a/679217bfdbd9617b04b9ee1a_Favicon.png	(from https://www.clementgermaine.com/)
21:43:26	6575/6575	---M--	200	added ('OK')	image/png	etag:%226a34aedbd13b56ee211e55a3587992d4%22	https://cdn.prod.website-files.com/67829ee3c36756f3a6ecc22a/67921943ee72c2d0506386f4_Fichier%2010.png	C:/My%20Web%20Sites/MonsiteWebflow/cdn.prod.website-files.com/67829ee3c36756f3a6ecc22a/67921943ee72c2d0506386f4_Fichier%2010.png	(from https://www.clementgermaine.com/)
21:43:26	72479/72479	---MCZ	200	added ('OK')	text/javascript	etag:W/%2211b1f-19d0b50e868%22	https://conversations-widget.brevo.com/brevo-conversations.js	C:/My%20Web%20Sites/MonsiteWebflow/conversations-widget.brevo.com/brevo-conversations.js	(from https://www.clementgermaine.com/)
21:43:26	10154/10154	---M--	200	added ('OK')	image/png	etag:%22cf6b1f22fa67276d3d0dd206b65f42ff%22	https://cdn.prod.website-files.com/67829ee3c36756f3a6ecc22a/679c91db68fb641d4c1457ad_Recueil%20du%20besoin.png	C:/My%20Web%20Sites/MonsiteWebflow/cdn.prod.website-files.com/67829ee3c36756f3a6ecc22a/679c91db68fb641d4c1457ad_Recueil%20du%20besoin.png	(from https://www.clementgermaine.com/)
21:43:26	41537/41537	---M--	200	added ('OK')	image/png	etag:%224dc0c2c127c0daf824756430a9a372a7%22	https://cdn.prod.website-files.com/67829ee3c36756f3a6ecc22a/679e202247ababc340064abf_Capitalisation%20@4x.png	C:/My%20Web%20Sites/MonsiteWebflow/cdn.prod.website-files.com/67829ee3c36756f3a6ecc22a/679e202247ababc340064abf_Capitalisation%20@4x.png	(from https://www.clementgermaine.com/)
21:43:27	52629/52629	---M--	200	added ('OK')	image/png	etag:%22177ee3d29ae697b6713bd8759bbb6642%22	https://cdn.prod.website-files.com/67829ee3c36756f3a6ecc22a/679f2c66e23fb32e2b43eb62_Protocole.png	C:/My%20Web%20Sites/MonsiteWebflow/cdn.prod.website-files.com/67829ee3c36756f3a6ecc22a/679f2c66e23fb32e2b43eb62_Protocole.png	(from https://www.clementgermaine.com/)
